City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,laminusa,5.5549,120.9136,28.66,78,86,4.91,PH,2024-10-25 19:03:04+00:00
150,tolanaro,-25.0319,46.9987,23.04,88,75,1.03,MG,2024-10-25 19:03:05+00:00
151,harstad,68.799,16.5293,5.09,87,100,15.2,NO,2024-10-25 19:03:06+00:00
152,tan-tan,28.438,-11.1032,21.97,78,20,7.72,MA,2024-10-25 19:03:08+00:00
153,port alfred,-33.5906,26.891,16.21,85,39,1.79,ZA,2024-10-25 18:53:26+00:00
154,guiren,33.6697,118.1889,13.39,96,50,2.88,CN,2024-10-25 19:03:10+00:00
155,la sarre,48.8002,-79.1996,9.47,77,100,7.25,CA,2024-10-25 19:02:13+00:00
156,karratha,-20.7377,116.8463,28.77,36,4,4.75,AU,2024-10-25 19:03:12+00:00
157,steamboat springs,40.485,-106.8317,15.18,32,0,2.06,US,2024-10-25 19:01:05+00:00
158,broken hill,-31.95,141.4333,14.6,44,98,3.54,AU,2024-10-25 19:03:15+00:00
159,dakhla,23.6848,-15.958,20.4,85,85,8.32,EH,2024-10-25 19:03:16+00:00
160,lichinga,-13.3128,35.2406,23.05,40,0,3.6,MZ,2024-10-25 19:03:18+00:00
161,callao,-12.0667,-77.15,19.16,77,100,3.6,PE,2024-10-25 18:53:36+00:00
162,caraballeda,10.6112,-66.8522,32.04,70,40,2.57,VE,2024-10-25 19:03:20+00:00
163,susuman,62.7833,148.1667,-15.18,96,100,1.74,RU,2024-10-25 19:03:21+00:00
164,kirakira,-10.4544,161.9205,25.4,87,8,3.29,SB,2024-10-25 19:03:22+00:00
165,kindu,-2.95,25.95,23.34,87,100,3.15,CD,2024-10-25 19:03:23+00:00
166,fuerte olimpo,-21.0415,-57.8738,38.11,33,31,3.83,PY,2024-10-25 19:03:24+00:00
167,el granada,37.5027,-122.4694,21.77,53,40,2.06,US,2024-10-25 19:03:26+00:00
168,gadzhiyevo,69.2551,33.3362,7.68,81,100,10.44,RU,2024-10-25 19:03:27+00:00
169,afaahiti,-17.75,-149.2833,23.47,80,100,11.46,PF,2024-10-25 18:54:16+00:00
170,corner brook,48.9667,-57.9484,3.82,94,100,7.34,CA,2024-10-25 19:03:29+00:00
171,sorsk,54.0033,90.2467,5.41,73,99,7.08,RU,2024-10-25 19:03:30+00:00
172,tralee,52.2704,-9.7026,11.2,89,73,4.67,IE,2024-10-25 19:03:31+00:00
173,pangody,65.85,74.4859,-5.05,96,98,3.87,RU,2024-10-25 19:03:32+00:00
174,badger,64.8,-147.5333,-12.02,85,75,0.0,US,2024-10-25 18:54:18+00:00
175,marsh harbour,26.5412,-77.0636,25.83,68,4,5.97,BS,2024-10-25 19:03:24+00:00
176,laascaanood,8.4774,47.3597,26.92,60,98,5.59,SO,2024-10-25 19:03:36+00:00
177,castillos,-34.1667,-53.8333,16.45,93,100,2.36,UY,2024-10-25 19:03:37+00:00
178,masina,-4.3836,15.3914,25.01,82,36,0.79,CD,2024-10-25 19:03:38+00:00
179,saint-pierre,-21.3393,55.4781,23.82,78,100,2.57,RE,2024-10-25 19:03:40+00:00
180,hadibu,12.65,54.0333,27.24,80,87,2.7,YE,2024-10-25 18:57:19+00:00
181,portland,45.5234,-122.6762,16.75,49,75,6.69,US,2024-10-25 19:03:42+00:00
182,ylitornio,66.3089,23.6773,4.89,93,4,1.95,FI,2024-10-25 19:03:43+00:00
183,bathsheba,13.2167,-59.5167,31.34,66,20,7.72,BB,2024-10-25 19:03:44+00:00
184,markaz-e hukumat-e darweshan,31.1323,64.1934,25.03,25,2,2.87,AF,2024-10-25 19:03:46+00:00
185,zouerate,22.7187,-12.4521,29.91,17,76,3.9,MR,2024-10-25 19:03:47+00:00
186,hermanus,-34.4187,19.2345,15.45,83,0,4.7,ZA,2024-10-25 18:54:08+00:00
187,black river,18.0264,-77.8487,29.58,74,30,2.32,JM,2024-10-25 19:03:49+00:00
188,chonchi,-42.6128,-73.8092,12.75,49,93,3.37,CL,2024-10-25 18:57:20+00:00
189,altai,46.3722,96.2583,-1.52,54,0,0.46,MN,2024-10-25 19:03:51+00:00
190,trimbak,19.9333,73.55,19.07,63,95,2.22,IN,2024-10-25 19:03:53+00:00
191,dahab,28.501,34.5134,26.55,28,0,3.24,EG,2024-10-25 19:03:54+00:00
192,longyearbyen,78.2186,15.6401,2.91,75,75,2.06,SJ,2024-10-25 18:54:37+00:00
193,iquique,-20.2208,-70.1431,18.73,69,88,2.69,CL,2024-10-25 18:51:49+00:00
194,chapaev,50.2,51.1667,8.49,64,98,2.44,KZ,2024-10-25 19:03:57+00:00
195,santo antonio do sudoeste,-26.0736,-53.7253,29.55,28,0,1.92,BR,2024-10-25 19:03:58+00:00
196,isiolo,0.3546,37.5822,25.03,48,22,6.08,KE,2024-10-25 19:03:59+00:00
197,newman,37.3138,-121.0208,23.31,24,100,1.44,US,2024-10-25 19:04:01+00:00
198,usinsk,65.9939,57.5281,-1.71,86,16,3.07,RU,2024-10-25 19:04:02+00:00
199,murzuq,25.9155,13.9184,21.67,27,6,4.05,LY,2024-10-25 19:03:17+00:00
200,bredasdorp,-34.5322,20.0403,13.28,89,0,1.82,ZA,2024-10-25 19:04:04+00:00
201,pudasjarvi,65.3833,26.9167,6.62,91,100,3.87,FI,2024-10-25 19:04:05+00:00
202,buta,2.7858,24.73,23.27,95,100,1.03,CD,2024-10-25 19:04:08+00:00
203,whitehorse,60.7161,-135.0538,-4.99,92,75,2.24,CA,2024-10-25 19:01:12+00:00
204,ola,59.5833,151.2833,-5.1,92,97,2.11,RU,2024-10-25 19:04:10+00:00
205,tazacorte,28.629,-17.9293,22.54,89,20,4.63,ES,2024-10-25 19:04:11+00:00
206,egilsstadir,65.2653,-14.3948,8.95,71,75,7.2,IS,2024-10-25 19:04:14+00:00
207,mikomeseng,2.1361,10.6132,21.06,99,89,1.35,GQ,2024-10-25 19:04:15+00:00
208,praya,14.9215,-23.5087,29.3,54,0,5.14,CV,2024-10-25 19:04:16+00:00
209,tazovsky,67.4667,78.7,-11.75,96,43,3.47,RU,2024-10-25 18:54:47+00:00
210,ta`u,-14.2336,-169.5144,27.14,84,98,9.46,AS,2024-10-25 19:04:18+00:00
211,cherdyn',60.403,56.4787,1.88,94,100,2.05,RU,2024-10-25 19:04:19+00:00
212,assab,13.0092,42.7394,29.96,76,100,9.74,ER,2024-10-25 19:04:21+00:00
213,tabou,4.423,-7.3528,25.5,88,88,3.54,CI,2024-10-25 19:04:22+00:00
214,champerico,14.3,-91.9167,29.23,74,8,3.07,GT,2024-10-25 19:04:23+00:00
215,palangkaraya,-2.2,113.8333,23.45,99,92,1.0,ID,2024-10-25 19:04:24+00:00
216,kawm umbu,24.4767,32.9463,24.14,15,0,5.45,EG,2024-10-25 19:04:25+00:00
217,sokoni,-6.4333,39.55,26.05,88,10,5.71,TZ,2024-10-25 19:04:26+00:00
